ClauseLikeUnit(CLU)-value,Duration,Question,Eye&Brow-value,Head-value,MouthGestF-value,MouthGestF-question,Mouthing-value,Mouthing-question,Q-manual-value,Q-nonmanual-value,Q-position-value,Q-semantic-value,Q-social action-value,CLUcomposite-value,CLUwithinCLU-value,CLUcomplex-value,CA-value,RH-IDgloss-value,LH-IDgloss-value,LitTransl-value,FreeTransl-value,Comments-value
BM06F56WDC_CLU#124,2350,Continuing,"down, up",Null,NA,NA,"man, eight, years",NA,Absent,Present,NA,Polar,OIR-restricted,Single,NA,NA,NA,"MAN04, PT:LOC, PRISON, EIGHT, YEAR","PRISON, EIGHT, YEAR",(you know a) man jailed (for) eight years?,A man was jailed for eight years.,
BM06F56WDC_CLU#125,1630,Continuing,up,Null,NA,NA,free,NA,Absent,Present,NA,Polar,OIR-restricted,Single,NA,NA,NA,GONE,GONE,(now he is) free (you know?),He's been freed.,
BM06F56WDC_CLU#126,1990,Continuing,up,Null,NA,NA,"how, feel",Single,Single,Present,post-predicate (non-reprise),Content,request information,Single,NA,NA,NA,"PT:PRO3SG, WHAT, HOW, FEEL, PT:PRO3SG","HOW, FEEL, PT:PRO3SG",he what how (he) feel him?,How will he feel?,
BM06F56WDC_CLU#132,2630,Continuing,up,Null,SYLL:THH,NO,"people, will, or, what",Single,Single,Present,post-predicate (non-reprise & clause-final),Content,request information,Single,NA,NA,NA,"PEOPLE05, FROM-TO, WILL, ATTACK, G:WELL, WHAT","FROM-TO, ATTACK, G:WELL",people go-there (to him) will attack-him or what?,Will people have a go at him or what?,
"BM06F56WDC_CLU#137, BM06F56WDC_CLU#138",1950,Continuing,up,Null,NA,NA,"if, real, hang, what",Single,Single,Present,post-predicate (non-reprise & clause-final),Content,request information,Depend,NA,"dependent, independent",NA,"TRUE, TRUE, HANGING, WHAT","TRUE, TRUE","(if he) really hung, (then) what?",What if he'd really been hung?,
BM06F56WDC_CLU#148,350,Continuing-NR,up,Null,NA,NA,ready,NA,Absent,Present,NA,Polar,request confirmation,Embed?,contained,NA,CD:SIGNER'S-PARENTS,READY,READY,(you) ready?,I'd always be ready to go to the Deaf club!,
BM06F56WDC_CLU#149,1310,Continuing-NR,up,Up,SYLL:OH,NO,deaf,NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,CD:SIGNER,"G:RIGHT, VOLUNTEER02, DEAF-CLUB",,"(me) ""right yes-me (going to) deaf club?""",I'd always be ready to go to the Deaf club!,
BM06F56WDC_CLU#157,3750,Continuing,up,Null,NA,NA,"with, canal, town",NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"PT:, FS:C(FALSE-START), G:ERM, FS:CANAL, PT:LOC, TOWN02, PT:LOC","PT:, FS:CANAL, TOWN02, PT:LOC",you-know can-- erm canal there (in) town there?,You know the canal in town?,
BM07M17WDC_CLU#003,790,Continuing-NR,not clear,HS1,NA,NA,UNSURE,NA,Absent,Present,NA,Content,request information,Single,NA,NA,CA:SIGNER+SIGNER-FRIENDS,"G:WELL, DO, G:WELL","G:WELL, G:WELL","(we think/say) ""well what-do?""","Last weekend, my friends and I were wondering where to go or what to do.",
BM07M17WDC_CLU#073,1550,Continuing-NR,"null, down","Nod, HS",NA,NA,"more, do do",NA,Absent,Present,NA,Content,request confirmation,Single?,NA,NA,CD:SIGNER,"PT:PRO1SG, SIGN, G:DISMISS, DO","SIGN, G:DISMISS, DO","me signing ""well-what (you want) do?""",We talked about what to do.,
BM07M17WDC_CLU#079,790,Continuing,squint,Nod1,NA,NA,NA,NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"KNOW, PT:PRO2SG",AREA,you know?,You know it?,
BM07M17WDC_CLU#080,430,Continuing,up,Nod1,NA,NA,been,NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"BEEN, PT:LOC",AREA,(you) been there?,Have you been?,
BM07M17WDC_CLU#086,2710,Continuing,null,Up,NA,NA,"Yas(ir), near, my, house",NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"FS:YASIR, NEAR, PT:POSS1SG(5), HOUSE02, PT:PRO3SG","FS:YASIR, NEAR, HOUSE02",Yasir (who lives) near my house him-there (you know?),"Yasir, who lives near my house.",
BM07M17WDC_CLU#113,1270,Continuing,down,Null,NA,NA,do,NA,Single,Present,pre-predicate,Content,outloud,Single,NA,NA,NA,"PT:PRO1SG, WHAT, DO, SATURDAY02","DO, SATURDAY02",me--what do (on) Saturday?,What did I do on Saturday?,
BM07M17WDC_CLU#117,430,Continuing-NR,squint,Up,NA,NA,shish(a),NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,DSH(FIST)-BE,,(we) go-there shisha?,We went for some shisha.,SG: could this and the next annotation be MOVE? I'm not sure if he is actually moving or it is just the process of forming the handshape?
BM07M17WDC_CLU#118,670,Continuing-NR,squint,Up,NA,NA,shish(a),NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"KNOW, PT:PRO2SG, DSH(FIST)-BE",,you know shisha?,We went for some shisha.,
BM07M17WDC_CLU#119,1670,Continuing,null,Null,NA,NA,NA,NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,FS:SHISHA,FS:SHISHA,(it's spelled) sisha?,We went for some shisha.,
MC10M69WHC_CLU#002,1875,Continuing,up,Null,NA,NA,"been, barcelona",NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"PT:PRO2SG, GO-TO, FS:B-BARCELONA","GO-TO, FS:B-BARCELONA",you been Barcelona?,Did you mean Barcelona?,HP:Proper noun
MC10M69WHC_CLU#003,1268,Continuing-NR,down,Nod1,NA,NA,how,Single,Single,Present,pre-predicate,Content,request information,Single,NA,NA,NA,HOW02,"HOW02, PT:LOC",how from-here-to-there Benidorm from-here-to-there?,How did you get from Benidorm to Barcelona?,HP:Missing an annotation for RH-IDgloss here PT:LOC ?
MC10M69WHC_CLU#003,2791,Continuing,null,Null,NA,NA,"benidorm, benidorm-prog",NA,Absent,Present,NA,Content,request information,Single,NA,NA,NA,"FS:B-BENIDORM, PT:LOC","FS:B-BENIDORM, PT:LOC",how from-here-to-there Benidorm from-here-to-there?,How did you get from Benidorm to Barcelona?,HP: Proper noun. HP: I have amended the IDglosses from FS:B-BEACH to FS:B-BENIDORM. This matches the Free and Lit translations. The whole mouthing of 'Benidorm' can be seen on this and the following sign.
MC10M69WHC_CLU#004,827,Continuing-NR,null,Null,NA,NA,NA,NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,FAR,,(it's) far?,How did you get from Benidorm to Barcelona?,
MC10M69WHC_CLU#005,1344,Continuing-NR,up,Nod,NA,NA,bus,NA,Absent,Present,NA,Polar,OIR-restricted,SharedCecho,NA,NA,NA,"FS:BUS, PT:LOC",FS:BUS,(you took/went by) bus from-there,How did you get from Benidorm to Barcelona?,GH: he is mirroring the other signer
MC10M69WHC_CLU#006,3871,Continuing,"up, down, up","HS, Nod1, Null",NA,NA,"from, benidorm, benidorm-prog, bus?, how",Single,Single,Present,post-predicate (non-reprise),Content,request information,Single,NA,NA,NA,"FROM, SN:INDECIPHERABLE(FS:INDECIPHERABLE(B)), PT:LOC, HOW02","FROM, G:HEY, SN:INDECIPHERABLE(FS:INDECIPHERABLE(B)), PT:LOC, PT:LOC, HOW02, PT:PRO2SG",from --hey-- Benidorm that-there (to) all-the-way-up-there how you? train up-there Barcelona train?,Did you go from Benidorm to Barcelona on the train?,HP: Proper noun
MC10M69WHC_CLU#006,1627,Continuing,up,Null,NA,NA,"tr(ain), UNSURE, barcelona",NA,Absent,Present,NA,Polar,request information,Single,NA,NA,NA,"TRAIN, PT:LOC/PT:PRO03, FS:B-INDECIPHERABLE",FS:B-INDECIPHERABLE,from --hey-- Benidorm that-there (to) all-the-way-up-there how you? train up-there Barcelona train?,Did you go from Benidorm to Barcelona on the train?,HP: Proper noun
MC10M69WHC_CLU#006,1356,Continuing,up,Null,NA,NA,tr(ain),NA,Absent,Present,NA,Polar,OIR-restricted,Single,NA,NA,NA,TRAIN,,from --hey-- Benidorm that-there (to) all-the-way-up-there how you? train up-there Barcelona train?,Did you go from Benidorm to Barcelona on the train?,AW: Does the prosody of this sign (slowing down) suggest something verby or is it just some sort of emphasis on the noun?
MC10M69WHC_CLU#007,2589,Initiating,up,"Nod1, Null",NA,NA,NA,NA,Absent,Present,NA,Other,OIR-news-receipt,Fragment,NA,NA,NA,G(NMS):YES,,(yes oh really?),Oh really?,EM: not identified. Looks like a kind 'really?' type of question.
MC10M69WHC_CLU#008,1845,Initiating-NR,null,Null,NA,NA,"how long, benidorm, to",Single,Single,Present,pre-predicate,Content,request information,Single,NA,NA,NA,"SLOW, SN:INDECIPHERABLE(FS:INDECIPHERABLE(B)), PT:LOC",SN:INDECIPHERABLE(FS:INDECIPHERABLE(B)),how-long Benidorm to-there (Barcelona)?,How long did it take from Benidorm?,"HP:Proper noun (although indecipherable, it's clearly a place name based on context)"
MC10M69WHC_CLU#009,1765,Continuing?,squint,Null,NA,NA,NA,NA,Absent,Absent,NA,Other,OIR-freeze-look,Fragment?,NA,NA,NA,,,(huh?),Huh?,EM: this is a difficult one. I think it's a freeze-look.
MC10M69WHC_CLU#010,2157,Initiating,null,"Nod1, HS, Forward",NA,NA,"you, benidorm, to",NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"G(NMS):NO, SN:BENIDORM, PT:LOC","PT:PRO2SG, SN:BENIDORM, PT:LOC","you -- no, Benidorm up-there-to...","No, Benidorm to -","HP:This looks like PT:PRO2SG to me, and we have 'you' in the LitTransl. I have updated the LH-GramCls to reflect this but not changed the IDgloss SG: I agree, I've updated this in IDgloss, HP:Proper noun"
MC10M69WHC_CLU#016,1676,Initiating-NR,up,Forward,PUFFED-CHEEKS,NO,NA,NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,EASY,,easy (by) bus? bus easy?/easy bussing? bussing easy?,Was it easy to do it by bus?,EM: there are three questions here instead of one in my opinion.
MC10M69WHC_CLU#016,906,Continuing-NR,up,Forward,NA,NA,bus,NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,FS:BUS,FS:BUS,easy (by) bus? bus easy?/easy bussing? bussing easy?,Was it easy to do it by bus?,HP: RH-Arg tagging added to identify doubling. Unsure if this is 1 or 2 NPs. Feel it is 2 as the signer is deliberately repeating himself.
MC10M69WHC_CLU#016,747,Continuing-NR,up,Forward,NA,NA,bus,NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"FS:BUS, EASY",FS:BUS,easy (by) bus? bus easy?/easy bussing? bussing easy?,Was it easy to do it by bus?,HP: RH-Arg tagging added to identify doubling. Unsure if this is 1 or 2 NPs. Feel it is 2 as the signer is deliberately repeating himself.
MC10M69WHC_CLU#019,2001,Initiating,null,Sideward,NA,NA,"deaf, how-many, how-many-prog",Single,Absent,Present,NA,Content,request information,Single,NA,NA,NA,"DEAF-AND-DUMB, HOW-MANY, PT:PRO3PL, EVERYTHING",EVERYTHING,deaf how-many there altogether?,How many Deaf people were there?,
MC10M69WHC_CLU#021,1318,Initiating,null,Null,NA,NA,"what, weather, weather-prog",Single,Multiple,Present,reprise (clause-final),Content,request information,Single,NA,NA,NA,"WHAT, WEATHER, WHAT",,what (was the) weather what?,What was the weather like?,
MC10M69WHC_CLU#027,1113,Continuing,down,Null,NA,NA,"off, friday, friday-prog",NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,FRIDAY,"GO, FRIDAY, PT:PRO2SG",(you) left Friday you?,"You went on Friday, didn't you?",
MC10M69WHC_CLU#065,1958,Initiating,squint,Nod,SYLL:OOH,NO,"big, city",NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"BIG, FS:CITY, PT:DET","PT:PRO3SG, BIG, FS:CITY",(yes) that-there (is a) big city that-one,It's a big city.,
MC10M69WHC_CLU#066,3239,Initiating,null,"Nod1, Null",NA,NA,"you, been, madrid, been",NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"PT:PRO2SG, BEEN, FS:MADRID , BEEN, PT:PRO2SG",FS:MADRID,you been Madrid been you?,Have you been to Madrid?,
MC10M69WHC_CLU#067,1669,Continuing,null,"Nod1, Null",NA,NA,"which, best, which",Multiple,Multiple,Present,other,Content,request information,Single,NA,NA,NA,"WHICH, BEST, WHICH, PT:PRO3SG",,which best which that/there?,Which was best?,EM: we have two repeated questions here. In this first one the other man wan't looking. GH: Have put as one question. I can't see how you decide the other man isn't looking
MC10M69WHC_CLU#068,2757,Initiating,squint,"Backward, Sideward",NA,NA,"mean, eighty",NA,Absent,Present,NA,Polar,OIR-restricted,Single,NA,NA,NA,"MEANING, PT:PRO3SG, TYPICAL, ENGLAND, G:WELL, EIGHT02, G:WELL","ENGLAND, G:WELL, EIGHT02, G:WELL",meaning England's (equivalent is) about eighty (pence),"So, in Britain, that would be about 80...",
MC10M69WHC_CLU#069,1036,Initiating-NR,up,Null,NA,NA,pass,NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"PT:PRO2SG, PASS-BY, PT:PRO2SG",,you passed-by (the bomb location) you?,You passed it?,
MC10M69WHC_CLU#071,1925,Initiating,up,HS,PRESSED-LIPS,YES,"not, damage",NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"NOTHING, DAMAGE, NOTHING, PT:LOC, NOTHING",DAMAGE,(there was) no damage nothing there no?,It wasn't damaged?,AW:Orginally glossed as PASS-BY
MC10M69WHC_CLU#073,5168,Initiating,squint,"Null, Forward, Forward, HS",NA,NA,"what, how, no, dart, snooker, swim pool, no",Single,Multiple,Present,pre-predicate,Alternative,request confirmation,Single,NA,NA,NA,"WHAT, HOW02, NOTHING, PT:PRO3SG, DARTS, PLUS, SNOOKER, SWIM, NOTHING","HOW02, PT:PRO3PL, PLUS, SNOOKER, SWIM, NOTHING","but how? they (have) no darts, or snooker, or swimming nothing","But they didn't have any darts, snooker or dominoes... oh, they did have table tennis.",MattB: conj because neg scope
MC10M69WHC_CLU#074,755,Continuing,up,"Nod1, Nod",NA,NA,"t(a)ble ten(ni)s, have",NA,Absent,Present,NA,Polar,OIR-restricted,Single,NA,NA,NA,"TABLE-TENNIS, HAVE",TABLE-TENNIS,(oh they have) table-tennis have,"But they didn't have any darts, snooker or dominoes... oh, they did have table tennis.",
MC10M69WHC_CLU#097,1268,Continuing,up,Sideward,NA,NA,can,NA,Absent,Present,NA,Polar,request confirmation,Embed,contained,NA,CD:SIGNER,"PT:PRO2SG, CAN, PT:PRO3SG/PT:LOC, EXTRACT",EXTRACT,you can understand interpreter-there?,"I asked the woman next to me if she could understand, seeing as she was so far away.",
MC10M69WHC_CLU#147,2793,Continuing-NR,down,HS,NA,NA,"me, where, put",Single,Single,Present,pre-predicate,Other,outloud,Single,NA,NA,CA:SIGNER,"WHERE, PT:PRO1SG, PT:PRO3SG, MOVE, WHERE, PT:PRO1SG, G:CA:HOLD-DRINK/DSH(SPHERE)-BE","PT:PRO1SG, G:CA:HOLD-DRINK/DSH(SPHERE)-BE",me where my drink put where how-hold-drink-and-sign?,"They won the argument because they can drink and sign at the same time, while we have to hold our drinks awkwardly if there isn't anywhere to put them!",
MC10M69WHC_CLU#152,1310,Continuing,null,Forward,NA,NA,deaf,NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,CD:SIGNER,"PT:PRO1SG, ADD-TO-SIGNBANK(DEAFb)",PT:PRO2SG,"(I said to them) ""me deaf, you?""",I also met a Deaf person from Germany while I was on holiday in Benidorm with my wife.,
MC22F67WHNC_CLU#044,1719,Initiating,null,Nod1,NA,NA,with yellow,NA,Absent,Present,NA,Polar,OIR-restricted,Single,NA,NA,NA,"YELLOW09, DSS(SMALL-OPEN)","YELLOW09, DSS(SMALL-OPEN)",(oh the) yellow round-container-one?,The round yellow container?,
MC22F67WHNC_CLU#074,1520,Initiating,"down , down","Null, Sideward",NA,NA,"should, have, one, here, should",NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"SHOULD, HAVE, ONE, PT:LOC, SHOULD",,should have one here should,There should be one here.,
MC22F67WHNC_CLU#087,2237,Initiating,up,Null,NA,NA,"will, free",NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"WILL, SUMMON, FREE02",FREE02,will (you) summon-them (for) free?,You can get them to come round for free.,
MC22F67WHNC_CLU#095,4040,Initiating,squint,Null,NA,NA,"Jeff, go to, volcano, in, Tenerife",NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"PT:, FS:INDECIPHERABLE(J), PT:PRO3SG, GO, VOLCANO02, GO-IN, FS:T-TENERIFE","FS:INDECIPHERABLE(J), VOLCANO02, GO-IN, FS:T-TENERIFE",hey/you/your Jeff going (to the) volcano in Tenerife?,Is Jeff visiting the volcano in Tenerife?,
MC22F67WHNC_CLU#107,1162,Initiating,wide,HS1,NA,NA,hot,NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,,HOT,(it was/you mean) hot?,Hot?,
MC22F67WHNC_CLU#144,2360,Initiating-NR,up,Nod,NA,NA,"same, flight",NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"G:HEY, SAME, AEROPLANE, SAME","SAME, SAME","(it's the) same flight, same flight?",The same flight?,
MC22F67WHNC_CLU#144,886,Continuing,null,Nod,NA,NA,"same, flight",NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"SAME, AEROPLANE",SAME,"(it's the) same flight, same flight?",The same flight?,
MC22F67WHNC_CLU#145,1476,Initiating,up,Nod1,NA,NA,"going, sunday",NA,Absent,Present,NA,Polar,OIR-news-receipt,Single,NA,NA,NA,"PT:PRO3SG, GO, SUNDAY",SUNDAY,(oh) they going Sunday (okay),"Oh, going on Sunday.",
MC22F67WHNC_CLU#146,1577,Initiating-NR,down,Null,NA,NA,NA,NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"DIVIDE(FALSE-START), G:HEY, DIVIDE","DIVIDE(FALSE-START), DIVIDE",(they) shared shared shared (yes)?,"Sharing, yeah?",
MC22F67WHNC_CLU#146,1564,Continuing,squint,Null,NA,NA,share,NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,DIVIDE,DIVIDE,(they) shared shared shared (yes)?,"Sharing, yeah?",
MC22F67WHNC_CLU#148,1998,Initiating,up,"HS, Nod",NA,NA,"daughter, alright",NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"CHILD, GOOD",,daughter (is) alright daughter?,Is her daughter alright?,
MC22F67WHNC_CLU#149,2507,Continuing,up,HS,NA,NA,"not, bothered, about, baby",NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"CHILD, WITHOUT, PROBLEM, PT:DET, BABY","PROBLEM, BABY",she-- not bothered (about) the baby?,She's not bothered about the baby?,
MC22F67WHNC_CLU#150,1317,Initiating-NR,null,Forward,NA,NA,her na(me),NA,Absent,Present,NA,Content,request information,Single,NA,NA,NA,"NAME(FALSE-START), G:HEY",,nam -- hey -- (her) name (is) what?,What's she called?,
MC22F67WHNC_CLU#150,670,Continuing,null,Null,NA,NA,"name, what",Single,Single,Present,post-predicate (non-reprise),Content,request information,Single,NA,NA,NA,NAME,,nam -- hey -- (her) name (is) what?,What's she called?,
MC22F67WHNC_CLU#153,844,Initiating,up,Null,NA,NA,"who, put",Single,Single,Present,pre-predicate,Content,request information,Single,NA,NA,NA,"WHO, MOVE",,who put-on (the nailpolish)?,Who put it on?,AW: Some is doing the putting and someone is receiving the 'putting'
MC22F67WHNC_CLU#154,673,Continuing,up,Null,NA,NA,"you, put",NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"PT:PRO2SG, MOVE",,you put-it-on?,Did you do it?,
MC22F67WHNC_CLU#166,3043,Initiating,down,"Null , Forward",NA,NA,"wax, you, put in",NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"FS:WAX, PT:PRO2SG, DSEW(FLAT)-MOVE",FS:WAX,wax you put-foot-in?,Did you put your foot in the wax?,
MC22F67WHNC_CLU#174,1759,Initiating,null,Nod,NA,NA,"with, diamond",NA,Absent,Present,NA,Polar,request confirmation,SharedCcontent,NA,NA,CA:SIGNER?,"WITH, ADD-TO-SIGNBANK(UNKNOWN), G:CA:HOLD-SMALL-OBJECTS/DSH(SMALL-CLOSED)-AT, PT:","WITH, DSEW(FIVE)-BE",with diamond diamonds-embedded-in-nails in-there (as well yes),With diamonds as well.,GH: TJ agrees with Shared CLU analysis
MC28M26WDC_CLU#026,2190,Initiating,null,Null,NA,NA,"photo, wedding, where, there",Single,Single,Present,post-predicate (non-reprise),Other,rhetorical,Single,NA,NA,NA,"PHOTO02, SPOUSE, WHERE, THERE, G:WELL","PHOTO02, SPOUSE, WHERE, G:WELL",photos (at/from the) wedding where there?,They wouldn't be in the wedding photos.,
MC28M26WDC_CLU#103,3550,Initiating-NR,null,Null,NA,NA,"max, how",Single,Multiple,Present,reprise (non-clause-final),Content,request information,Depend,NA,independent,NA,"MEANING, PT:PRO2SG, HOW(FALSE-START), FS:MAX, HOW, LOOK-AFTER(FALSE-START), LOOK, G:WELL","MEANING, HOW(FALSE-START), FS:MAX, HOW, LOOK, G:WELL",mean you how-- Max how (you) see (him) well?,"If you want to go to London on Friday, how will you see to Max?",AW: or is this a partially formed LOOK-AFTER
MC28M26WDC_CLU#109,1710,Continuing,null,Null,NA,NA,"after, what",Single,Single,Present,post-predicate (non-reprise),Content,request information,Single,NA,NA,NA,"NEXT, WHAT, FROM-THEN-ON, G:WELL","NEXT, FBUOY, FROM-THEN-ON, G:WELL",next-after what from-then-on?,"Then after that, what's happening?",
MC28M26WDC_CLU#112,1870,Initiating-NR,null,Nod1,NA,NA,"wh(ich), want, go",Single,Multiple,Present,reprise (clause-final),Content,request information,Depend,NA,independent,NA,"WHICH, TRUE, WANT, WHERE, GO, WHAT","WHICH, TRUE, FBUOY",which (places you) really want where go what?,"If we do agree to go to London, where do you really want to go?",
MC28M26WDC_CLU#113,1633,Continuing,null,Null,NA,NA,"shopping, usual",NA,Absent,Present,NA,Polar,OIR-restricted,Single,NA,NA,NA,"LUGGAGE, TYPICAL, REGULAR","LUGGAGE, REGULAR",shopping (is) your usual (desire),You usually go shopping!,
BL04M74WHC_CLU#029,1970,Continuing,null,"Null, Nod1",NA,NA,"bristol-prog go, deaf club",NA,Absent,Present,NA,Other,request confirmation,Single,NA,NA,NA,"GO, DEAF-CLUB",,go-to deaf club (you know?),"When I got to Bristol and went to the Deaf club, I was very reserved and withdrawn among all the people and was honestly frightened.",
BL04M74WHC_CLU#035,595,Continuing-NR,null,Forward,NA,NA,"what, what-prog",Single,Single,Present,other,Other,OIR-open,Single,NA,NA,CA:SIGNER,"PT:, WHAT",,me whatted,"When I got to Bristol and went to the Deaf club, I was very reserved and withdrawn among all the people and was honestly frightened.",
BL04M74WHC_CLU#115,1505,Continuing,not visible,Forward,NA,NA,you,NA,Absent,Present,NA,Other,request confirmation,Single,NA,NA,NA,"PT:, AND",,you (remember)?,Do you remember?,MattB: subtle
BL04M74WHC_CLU#147,839,Continuing-NR,up,Forward,NA,NA,"have, job for",NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,CD:SIGNER,"HAVE, MAKE",MAKE,(you) have job (for me)?,I asked if he had a job for me.,
"BL04M74WHC_CLU#174, BL04M74WHC_CLU#175",1678,Continuing,not visible,Null,NA,NA,"you, want, buy, house",NA,Absent,Absent,NA,Polar,request confirmation,EmbedEmbed,"pre-container+contained, contained+contained",NA,"CD:COUNCIL, CD:COUNCIL","PT:PRO2SG, WANT, PAY, PT:DET, HOUSE","PAY, HOUSE","you want, ""buy that house?""",It was only two or three months before the council asked if I wanted to buy this house.,"GH: and head CAform for this CA and the next?, JF: UG could be removed SS:translation, (you) buy your house from council, (the one you are living in)"
BL04M74WHC_CLU#183,556,Continuing-NR,null,Forward,NA,NA,"friends, (what) do",NA,Single,Present,other,Content,request information,Embed,contained,NA,CD:SIGNER,"PT:DETPL, WHAT",,you-all what (think/do)?,I asked my friends what they thought especially I had not worked long.,
LN26M77WHC_CLU#003,1269,Continuing,null,Nod1,NA,NA,"how old, you",Single,Single,Present,other,Content,request information,Single,NA,NA,NA,"PT:PRO2SG, AGE, PT:PRO2SG",,you how-old you (became deaf)?,"I thought it would be interesting to know when you became deaf, it was seven and half in my case.",
LN26M77WHC_CLU#006,784,Continuing,up,Nod,NA,NA,same,NA,Absent,Present,NA,Polar,OIR-restricted,SharedCecho,NA,NA,NA,G(NMS):NOD,,(you same? also deaf from meningitis),You also had meningitis?,
LN26M77WHC_CLU#026,2750,Continuing-NR,"up, down","HS, Null",NA,NA,"next, woke up",NA,Single,Present,other,Other,outloud,Single,NA,NA,CA:SIGNER,"NEXT, WAKE, WHAT","NEXT, WAKE, WHAT",next (me) woke-up do-whatting,When I woke again I did not know what had happened.,
LN26M77WHC_CLU#033,2635,Initiating,"null, up",Null,NA,NA,"Christmas, pudding, maybe",NA,Multiple,Present,post-predicate (non-reprise & clause-final),Polar,suggestion/offer/request,Single,NA,NA,NA,"PT:DET, CHRISTMAS02, UNKNOWN(PUDDING), PERHAPS, PT:PRO3SG","CHRISTMAS02, UNKNOWN(PUDDING)",that Christmas pudding maybe that!?,It could have been the Christmas pudding?,
"LN26M77WHC_CLU#041, LN26M77WHC_CLU#042",2080,Continuing,up,Null,NA,NA,"remember, hospital",NA,Multiple,Present,reprise (clause-final),Polar,request confirmation,Embed,"pre-container, contained",NA,CA:NURSES?,"REMEMBER, PT:PRO2SG, G:CA:HOLD-WHEELCHAIR/DSH(GRIP)-MOVE, HOSPITAL, PT:PRO2SG","G:CA:HOLD-WHEELCHAIR/DSH(GRIP)-MOVE, HOSPITAL, FBUOY","(you) remember, you wheeled-carried into-hospital you?",Do you remember being wheeled into hospital?,GH: aspectual?
LN26M77WHC_CLU#046,3884,Initiating,"down , up",Null,NA,NA,"what, year, nineteen forty-one",Single,Single,Present,pre-predicate,Polar,OIR-restricted,Single,NA,NA,NA,"WHAT, YEAR, PT:PRO3SG/PT:PRO2SG/PT:DET, NINETEEN^FOUR02^ONE",YEAR,what year you-that nineteen-forty-one?,Was it the year of 1941?,
LN26M77WHC_CLU#047,946,Continuing,up,Null,NA,NA,forty-one,NA,Absent,Present,NA,Polar,OIR-restricted,Single,NA,NA,NA,FOUR02^ONE,,(was it) forty-one?,Was it 1941?,
"LN26M77WHC_CLU#102, LN26M77WHC_CLU#103",2395,Continuing,up,"Nod1, Null",NA,NA,"think, God, wants, that",NA,Absent,Present,NA,Other,outloud,Embed,"pre-container, contained",NA,NA,"THINK, INDECIPERHABLE, BOSS/PT:PRO3SG, WANT, PT:PRO3SG, G:WELL",,"(they) think, God wants that you-know?!",Who'd think that God would want that to happen?,
LN26M77WHC_CLU#116,1317,Continuing?,up,"Nod, Null",NA,NA,"if, want, be depressed",NA,Absent,Present,NA,Polar,outloud,EmbedDepend?,contained,dependent,CD:SIGNER,"PT:PRO2SG, WANT, DEPRESSED, PT:PRO2SG",,(if) you want (to be) depressed you,What Anne and I've said this week is that if you want to be depressed then you should watch the News or read the newspapers.,"MattB: a lot going on here. candidate for disjunction but it's mostly English word order with a mouthed conditional 'if' creating a modal effect, an implicit 'or', and a single list buoy, all with raised brows throughout ..."
